"filename", "language", "MySQL SQL", "Database", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "XML", "TypeScript JSX", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 14, 37
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\ballotic.sqlite3", "Database", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\ballotic_query.sql", "MySQL SQL", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31, 104
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\components.json", "JSON", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\next.config.mjs", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\package-lock.json", "JSON", 0, 0, 0, 8199, 0, 0, 0, 0, 0, 0, 0, 1, 8200
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\package.json", "JSON", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 1, 62
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 7, 4, 34
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\leaderboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_candidate\candidateTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 6, 15, 110
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_candidate\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_candidate\updateCandidateDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 4, 10, 72
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_election\electionTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 5, 12, 106
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_election\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_election\updateElectionDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 4, 10, 73
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\voters\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\voters\updateVoterDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 4, 10, 73
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\voters\voterListTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 2, 6, 107
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 4, 39
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\auth\login\loginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 2, 7, 52
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\auth\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
