Date : 2024-04-19 20:33:47
Directory : c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic
Total : 82 files,  11421 codes, 291 comments, 456 blanks, all 12168 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |      8,277 |          0 |          2 |      8,279 |
| TypeScript JSX     |         47 |      2,430 |        133 |        319 |      2,882 |
| TypeScript         |         20 |        521 |         78 |         72 |        671 |
| CSS                |          1 |         68 |         67 |         12 |        147 |
| MySQL SQL          |          3 |         63 |         12 |         31 |        106 |
| JSON with Comments |          2 |         29 |          0 |          2 |         31 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JavaScript         |          2 |          8 |          1 |          3 |         12 |
| XML                |          2 |          2 |          0 |          0 |          2 |
| Database           |          1 |          0 |          0 |          1 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |         82 |     11,421 |        291 |        456 |     12,168 |
| . (Files)                                                                                                                |         11 |      8,478 |         11 |         56 |      8,545 |
| public                                                                                                                   |          2 |          2 |          0 |          0 |          2 |
| src                                                                                                                      |         68 |      2,936 |        280 |        398 |      3,614 |
| src (Files)                                                                                                              |          1 |          2 |          0 |          1 |          3 |
| src\app                                                                                                                  |         39 |      1,380 |        225 |        194 |      1,799 |
| src\app (Files)                                                                                                          |          1 |         68 |         67 |         12 |        147 |
| src\app\(admin)                                                                                                          |         13 |        601 |         33 |         78 |        712 |
| src\app\(admin) (Files)                                                                                                  |          1 |         34 |          1 |          4 |         39 |
| src\app\(admin)\admin                                                                                                    |         12 |        567 |         32 |         74 |        673 |
| src\app\(admin)\admin (Files)                                                                                            |          1 |         14 |          0 |          1 |         15 |
| src\app\(admin)\admin\dashboard                                                                                          |          1 |         23 |          7 |          4 |         34 |
| src\app\(admin)\admin\leaderboard                                                                                        |          1 |         10 |          0 |          0 |         10 |
| src\app\(admin)\admin\manage_candidate                                                                                   |          3 |        169 |         10 |         27 |        206 |
| src\app\(admin)\admin\manage_election                                                                                    |          3 |        170 |          9 |         24 |        203 |
| src\app\(admin)\admin\voters                                                                                             |          3 |        181 |          6 |         18 |        205 |
| src\app\(users)                                                                                                          |         10 |        300 |         73 |         50 |        423 |
| src\app\(users) (Files)                                                                                                  |          3 |         64 |          1 |         10 |         75 |
| src\app\(users)\auth                                                                                                     |          4 |        121 |          6 |         22 |        149 |
| src\app\(users)\auth\login                                                                                               |          2 |         61 |          2 |          8 |         71 |
| src\app\(users)\auth\register                                                                                            |          2 |         60 |          4 |         14 |         78 |
| src\app\(users)\elections                                                                                                |          1 |         10 |          9 |          1 |         20 |
| src\app\(users)\faqs                                                                                                     |          2 |        105 |         57 |         17 |        179 |
| src\app\api                                                                                                              |         15 |        411 |         52 |         54 |        517 |
| src\app\api (Files)                                                                                                      |          1 |         13 |          0 |          4 |         17 |
| src\app\api\admin                                                                                                        |          3 |        106 |         11 |         13 |        130 |
| src\app\api\admin\candidateList                                                                                          |          1 |         33 |          5 |          4 |         42 |
| src\app\api\admin\electionList                                                                                           |          1 |         38 |          3 |          4 |         45 |
| src\app\api\admin\voterList                                                                                              |          1 |         35 |          3 |          5 |         43 |
| src\app\api\auth                                                                                                         |          2 |         85 |         17 |         12 |        114 |
| src\app\api\auth\[...nextauth]                                                                                           |          1 |         71 |         14 |          9 |         94 |
| src\app\api\auth\register                                                                                                |          1 |         14 |          3 |          3 |         20 |
| src\app\api\candidates                                                                                                   |          1 |         11 |          7 |          4 |         22 |
| src\app\api\custom-query                                                                                                 |          1 |         10 |          1 |          2 |         13 |
| src\app\api\elections                                                                                                    |          2 |         42 |          7 |          8 |         57 |
| src\app\api\elections (Files)                                                                                            |          1 |         25 |          4 |          5 |         34 |
| src\app\api\elections\result                                                                                             |          1 |         17 |          3 |          3 |         23 |
| src\app\api\elections\result\[electionID]                                                                                |          1 |         17 |          3 |          3 |         23 |
| src\app\api\loggedinUser                                                                                                 |          1 |         14 |          1 |          2 |         17 |
| src\app\api\users                                                                                                        |          2 |        104 |          0 |          4 |        108 |
| src\app\api\users (Files)                                                                                                |          1 |         50 |          0 |          2 |         52 |
| src\app\api\users\[userId]                                                                                               |          1 |         54 |          0 |          2 |         56 |
| src\app\api\vote                                                                                                         |          1 |         15 |          8 |          3 |         26 |
| src\app\api\voter                                                                                                        |          1 |         11 |          0 |          2 |         13 |
| src\components                                                                                                           |         24 |      1,529 |         27 |        191 |      1,747 |
| src\components (Files)                                                                                                   |          9 |        307 |         13 |         47 |        367 |
| src\components\admin                                                                                                     |          2 |         52 |         14 |          6 |         72 |
| src\components\ui                                                                                                        |         13 |      1,170 |          0 |        138 |      1,308 |
| src\database                                                                                                             |          1 |         20 |         26 |         10 |         56 |
| src\lib                                                                                                                  |          1 |          5 |          0 |          2 |          7 |
| src\schema                                                                                                               |          2 |          0 |          2 |          0 |          2 |
| utils                                                                                                                    |          1 |          5 |          0 |          2 |          7 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                 | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\.eslintrc.json                                                   | JSON with Comments |          3 |          0 |          1 |          4 |
| c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\README.md                                                        | Markdown           |         23 |          0 |         14 |         37 |
| c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\ballotic.sqlite3                                                 | Database           |          0 |          0 |          1 |          1 |
| c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\ballotic_query.sql                                               | MySQL SQL          |         63 |         10 |         31 |        104 |
