"filename", "language", "TypeScript JSX", "MySQL SQL", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\dashboard\page.tsx", "TypeScript JSX", 23, 0, 0, 0, 7, 4, 34
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\leaderboard\page.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 0, 10
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_candidate\candidateTable.tsx", "TypeScript JSX", 89, 0, 0, 0, 6, 15, 110
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_candidate\page.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 2, 24
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_candidate\updateCandidateDialog.tsx", "TypeScript JSX", 58, 0, 0, 0, 4, 10, 72
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_election\electionTable.tsx", "TypeScript JSX", 89, 0, 0, 0, 5, 12, 106
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_election\page.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 2, 24
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_election\updateElectionDialog.tsx", "TypeScript JSX", 59, 0, 0, 0, 4, 10, 73
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\page.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 1, 15
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\voters\page.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 2, 25
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\voters\updateVoterDialog.tsx", "TypeScript JSX", 59, 0, 0, 0, 4, 10, 73
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\voters\voterListTable.tsx", "TypeScript JSX", 99, 0, 0, 0, 2, 6, 107
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\layout.tsx", "TypeScript JSX", 34, 0, 0, 0, 1, 4, 39
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\auth\login\loginForm.tsx", "TypeScript JSX", 43, 0, 0, 0, 2, 7, 52
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\auth\login\page.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 1, 19
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\auth\register\page.tsx", "TypeScript JSX", 17, 0, 0, 0, 1, 8, 26
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\auth\register\registerForm.tsx", "TypeScript JSX", 43, 0, 0, 0, 3, 6, 52
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\elections\page.tsx", "TypeScript JSX", 10, 0, 0, 0, 9, 1, 20
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\faqs\custom.tsx", "TypeScript JSX", 72, 0, 0, 0, 47, 9, 128
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\faqs\page.tsx", "TypeScript JSX", 33, 0, 0, 0, 10, 8, 51
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\layout.tsx", "TypeScript JSX", 32, 0, 0, 0, 1, 4, 37
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\logout.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 2, 16
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\page.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 4, 22
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\admin\candidateList\route.ts", "TypeScript", 0, 0, 33, 0, 5, 4, 42
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\admin\electionList\route.ts", "TypeScript", 0, 0, 38, 0, 3, 4, 45
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\admin\voterList\route.ts", "TypeScript", 0, 0, 35, 0, 3, 5, 43
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 0, 71, 0, 14, 9, 94
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\auth\register\route.ts", "TypeScript", 0, 0, 14, 0, 3, 3, 20
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\candidates\route.ts", "TypeScript", 0, 0, 11, 0, 7, 4, 22
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\custom-query\route.ts", "TypeScript", 0, 0, 10, 0, 1, 2, 13
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\elections\result\[electionID]\route.ts", "TypeScript", 0, 0, 17, 0, 3, 3, 23
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\elections\route.ts", "TypeScript", 0, 0, 25, 0, 4, 5, 34
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\loggedinUser\route.ts", "TypeScript", 0, 0, 14, 0, 1, 2, 17
