Date : 2024-04-19 20:34:38
Directory : c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src
Total : 68 files,  2936 codes, 280 comments, 398 blanks, all 3614 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         47 |      2,430 |        133 |        319 |      2,882 |
| TypeScript     |         18 |        438 |         78 |         67 |        583 |
| CSS            |          1 |         68 |         67 |         12 |        147 |
| MySQL SQL      |          2 |          0 |          2 |          0 |          2 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |         68 |      2,936 |        280 |        398 |      3,614 |
| . (Files)                                                                                                                |          1 |          2 |          0 |          1 |          3 |
| app                                                                                                                      |         39 |      1,380 |        225 |        194 |      1,799 |
| app (Files)                                                                                                              |          1 |         68 |         67 |         12 |        147 |
| app\(admin)                                                                                                              |         13 |        601 |         33 |         78 |        712 |
| app\(admin) (Files)                                                                                                      |          1 |         34 |          1 |          4 |         39 |
| app\(admin)\admin                                                                                                        |         12 |        567 |         32 |         74 |        673 |
| app\(admin)\admin (Files)                                                                                                |          1 |         14 |          0 |          1 |         15 |
| app\(admin)\admin\dashboard                                                                                              |          1 |         23 |          7 |          4 |         34 |
| app\(admin)\admin\leaderboard                                                                                            |          1 |         10 |          0 |          0 |         10 |
| app\(admin)\admin\manage_candidate                                                                                       |          3 |        169 |         10 |         27 |        206 |
| app\(admin)\admin\manage_election                                                                                        |          3 |        170 |          9 |         24 |        203 |
| app\(admin)\admin\voters                                                                                                 |          3 |        181 |          6 |         18 |        205 |
| app\(users)                                                                                                              |         10 |        300 |         73 |         50 |        423 |
| app\(users) (Files)                                                                                                      |          3 |         64 |          1 |         10 |         75 |
| app\(users)\auth                                                                                                         |          4 |        121 |          6 |         22 |        149 |
| app\(users)\auth\login                                                                                                   |          2 |         61 |          2 |          8 |         71 |
| app\(users)\auth\register                                                                                                |          2 |         60 |          4 |         14 |         78 |
| app\(users)\elections                                                                                                    |          1 |         10 |          9 |          1 |         20 |
| app\(users)\faqs                                                                                                         |          2 |        105 |         57 |         17 |        179 |
| app\api                                                                                                                  |         15 |        411 |         52 |         54 |        517 |
| app\api (Files)                                                                                                          |          1 |         13 |          0 |          4 |         17 |
| app\api\admin                                                                                                            |          3 |        106 |         11 |         13 |        130 |
| app\api\admin\candidateList                                                                                              |          1 |         33 |          5 |          4 |         42 |
| app\api\admin\electionList                                                                                               |          1 |         38 |          3 |          4 |         45 |
| app\api\admin\voterList                                                                                                  |          1 |         35 |          3 |          5 |         43 |
| app\api\auth                                                                                                             |          2 |         85 |         17 |         12 |        114 |
| app\api\auth\[...nextauth]                                                                                               |          1 |         71 |         14 |          9 |         94 |
| app\api\auth\register                                                                                                    |          1 |         14 |          3 |          3 |         20 |
| app\api\candidates                                                                                                       |          1 |         11 |          7 |          4 |         22 |
| app\api\custom-query                                                                                                     |          1 |         10 |          1 |          2 |         13 |
| app\api\elections                                                                                                        |          2 |         42 |          7 |          8 |         57 |
| app\api\elections (Files)                                                                                                |          1 |         25 |          4 |          5 |         34 |
| app\api\elections\result                                                                                                 |          1 |         17 |          3 |          3 |         23 |
| app\api\elections\result\[electionID]                                                                                    |          1 |         17 |          3 |          3 |         23 |
| app\api\loggedinUser                                                                                                     |          1 |         14 |          1 |          2 |         17 |
| app\api\users                                                                                                            |          2 |        104 |          0 |          4 |        108 |
| app\api\users (Files)                                                                                                    |          1 |         50 |          0 |          2 |         52 |
| app\api\users\[userId]                                                                                                   |          1 |         54 |          0 |          2 |         56 |
| app\api\vote                                                                                                             |          1 |         15 |          8 |          3 |         26 |
| app\api\voter                                                                                                            |          1 |         11 |          0 |          2 |         13 |
| components                                                                                                               |         24 |      1,529 |         27 |        191 |      1,747 |
| components (Files)                                                                                                       |          9 |        307 |         13 |         47 |        367 |
| components\admin                                                                                                         |          2 |         52 |         14 |          6 |         72 |
| components\ui                                                                                                            |         13 |      1,170 |          0 |        138 |      1,308 |
| database                                                                                                                 |          1 |         20 |         26 |         10 |         56 |
| lib                                                                                                                      |          1 |          5 |          0 |          2 |          7 |
| schema                                                                                                                   |          2 |          0 |          2 |          0 |          2 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                 | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\dashboard\page.tsx                         | TypeScript JSX |         23 |          7 |          4 |         34 |
| c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\leaderboard\page.tsx                       | TypeScript JSX |         10 |          0 |          0 |         10 |
| c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_candidate\candidateTable.tsx        | TypeScript JSX |         89 |          6 |         15 |        110 |
| c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_candidate\page.tsx                  | TypeScript JSX |         22 |          0 |          2 |         24 |
| c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_candidate\updateCandidateDialog.tsx | TypeScript JSX |         58 |          4 |         10 |         72 |
| c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_election\electionTable.tsx          | TypeScript JSX |         89 |          5 |         12 |        106 |
| c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_election\page.tsx                   | TypeScript JSX |         22 |          0 |          2 |         24 |
| c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\manage_election\updateElectionDialog.tsx   | TypeScript JSX |         59 |          4 |         10 |         73 |
| c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\page.tsx                                   | TypeScript JSX |         14 |          0 |          1 |         15 |
| c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\voters\page.tsx                            | TypeScript JSX |         23 |          0 |          2 |         25 |
| c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\voters\updateVoterDialog.tsx               | TypeScript JSX |         59 |          4 |         10 |         73 |
| c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(admin)\admin\voters\voterListTable.tsx                  | TypeScript JSX |         99 |          2 |          6 |        107 |
